Time from Start to Finish (seconds),Q1,Q2,Q3,Q4,Q5,Q6,Q7_Part_1,Q7_Part_2,Q7_Part_3,Q7_Part_4,Q7_Part_5,Q7_Part_6,Q7_Part_7,Q7_Part_8,Q7_Part_9,Q7_Part_10,Q7_Part_11,Q7_Part_12,Q7_OTHER,Q8
787,25-29,Man,Indonesia,Doctoral degree,Data Analyst,5-10 years,,,,,C++,,,,,,,,,Python
841,35-39,Man,India,Master’s degree,Other,10-20 years,,,SQL,C,C++,Java,,,,,MATLAB,,,Java
351,25-29,Man,Poland,Master’s degree,Currently not employed,1-2 years,Python,R,,,,,,,,,,,,Python
406,25-29,Woman,Belarus,Master’s degree,Machine Learning Engineer,1-2 years,Python,,,,,,,,,,,,,MATLAB
508,25-29,Man,India,Doctoral degree,Other,3-5 years,Python,,,C,,,,,,,,,,Python
123,18-21,Man,India,Professional degree,,,,,,,,,,,,,,,,
709,22-24,Man,Other,Bachelor’s degree,Software Engineer,1-2 years,Python,,SQL,,,Java,Javascript,,,,,,Other,Python
297,25-29,Woman,Tunisia,Master’s degree,Data Scientist,5-10 years,Python,,,,,,,,,,,,,Python
708,30-34,Man,Ukraine,Master’s degree,Data Scientist,3-5 years,Python,,SQL,,,,,,,,,,,Python
90,30-34,Woman,Belgium,Master’s degree,Data Analyst,1-2 years,,,,,,,,,,,,None,,Python
5811,35-39,Man,United States of America,Master’s degree,Other,< 1 years,,,,,,,,,,,,None,,Python
475,25-29,Man,United States of America,Master’s degree,Software Engineer,10-20 years,Python,,SQL,C,C++,,,,,Bash,,,Other,Python
45,40-44,Man,Germany,Doctoral degree,,,,,,,,,,,,,,,,
436,18-21,Man,Pakistan,Bachelor’s degree,Software Engineer,1-2 years,,,,,C++,,Javascript,,,,,,,Python
739,35-39,Man,Saudi Arabia,Bachelor’s degree,Other,I have never written code,,,,,,,,,,,,,,
1098,35-39,Man,Taiwan,Master’s degree,Software Engineer,5-10 years,Python,,SQL,C,,,,,,,,,,Python
250,25-29,Woman,Brazil,Master’s degree,Student,1-2 years,Python,,,,C++,,,,,,MATLAB,,,C++
1175,35-39,Man,United States of America,Doctoral degree,Data Analyst,1-2 years,Python,,SQL,,,,,,,,,,,Python
19645,25-29,Man,India,Bachelor’s degree,Machine Learning Engineer,3-5 years,Python,,,,,,,,,,,,,Python
849,18-21,Woman,Indonesia,Bachelor’s degree,Data Scientist,< 1 years,,R,SQL,C,,,Javascript,,,,,,,R
411,30-34,Woman,Other,Some college/university study without earning a bachelor’s degree,Student,3-5 years,Python,,SQL,,,Java,Javascript,,,,MATLAB,,,Python
954,35-39,Man,Nigeria,Doctoral degree,Student,1-2 years,Python,,,,,,,,,,,,,Python
546,18-21,Prefer to self-describe,India,Bachelor’s degree,Student,1-2 years,Python,,,C,C++,,,,,,,,,C++
466,35-39,Man,Germany,Doctoral degree,Research Scientist,10-20 years,Python,R,,,,,,,,,,,,R
1191,25-29,Man,China,Some college/university study without earning a bachelor’s degree,Data Scientist,< 1 years,Python,,,,,,,,,,,,,Python
450,25-29,Woman,China,Master’s degree,Currently not employed,< 1 years,Python,,,,,,,,,,,,,Python
938,50-54,Woman,Italy,Doctoral degree,Research Scientist,1-2 years,Python,,SQL,C,,,,,,,,,,R
692,40-44,Man,India,Professional degree,Software Engineer,10-20 years,Python,,,,,Java,,,,,,,,Python
96164,22-24,Woman,Taiwan,Master’s degree,Student,1-2 years,Python,,,,,,,,,,,,,Python
1814,40-44,Man,United States of America,Master’s degree,Machine Learning Engineer,20+ years,Python,R,SQL,,,,,,,Bash,,,,C
701,25-29,Man,Taiwan,Master’s degree,Other,3-5 years,Python,,,C,,,,,,,MATLAB,,,Python
166759,22-24,Woman,India,Master’s degree,Student,< 1 years,Python,,,,,,,,,,,,,Python
954,25-29,Man,Other,Bachelor’s degree,Data Analyst,1-2 years,Python,,SQL,,,,,,,,,,,Python
658,60-69,Man,Other,Doctoral degree,Other,5-10 years,,R,,,,,,,,,,,,Python
326,45-49,Man,Spain,Master’s degree,Software Engineer,1-2 years,,R,SQL,,,,,,,Bash,,,,R
204,30-34,Prefer not to say,Singapore,Bachelor’s degree,Other,5-10 years,Python,,,,,Java,Javascript,,,,,,,Python
1666,18-21,Man,India,Bachelor’s degree,Data Scientist,< 1 years,Python,R,SQL,C,,Java,,,,,,,,R
971,22-24,Man,Russia,Master’s degree,Machine Learning Engineer,3-5 years,Python,,SQL,,,,,,,Bash,,,,Python
164,30-34,Man,United States of America,Master’s degree,Other,I have never written code,,,,,,,,,,,,,,
1202,40-44,Man,India,Master’s degree,Other,< 1 years,Python,,,,,,,,,,,,,Python
1384,22-24,Man,Other,Professional degree,Data Analyst,1-2 years,Python,,SQL,,,,Javascript,,,,,,,Python
644,35-39,Woman,Other,Doctoral degree,Other,< 1 years,Python,,,,,,,,,,,,,SQL
674,30-34,Man,United Arab Emirates,Master’s degree,Research Scientist,5-10 years,Python,,,,C++,,,,,,,,,Python
196,18-21,Man,India,Bachelor’s degree,Student,I have never written code,,,,,,,,,,,,,,
300,22-24,Man,India,Bachelor’s degree,Software Engineer,3-5 years,Python,,SQL,,,,Javascript,,,,,,,Python
607,18-21,Man,Other,Some college/university study without earning a bachelor’s degree,Student,1-2 years,Python,,,,C++,Java,,,,,,,,Python
472,40-44,Woman,Spain,Master’s degree,Other,< 1 years,Python,,SQL,,,,,,,,,,,Python
538,18-21,Man,India,No formal education past high school,Student,1-2 years,Python,,SQL,C,C++,,,,,,,,,Python
13928,55-59,Man,Colombia,Master’s degree,Data Scientist,10-20 years,Python,R,,,,,,,,,,,,Python
494,22-24,Man,India,Bachelor’s degree,Currently not employed,< 1 years,Python,,SQL,,,,Javascript,,,,,,,Python
136,18-21,Woman,Mexico,Bachelor’s degree,Student,1-2 years,Python,R,,,,,,,,,,,,Python
766,35-39,Man,Canada,Master’s degree,Data Scientist,10-20 years,Python,,,,,,,,,,,,,Python
989,22-24,Man,India,Bachelor’s degree,Data Analyst,3-5 years,Python,,SQL,,C++,,Javascript,,,,MATLAB,,,Python
331,18-21,Man,India,I prefer not to answer,Machine Learning Engineer,1-2 years,Python,,,,,,Javascript,,,,,,,Python
311,18-21,Man,India,Master’s degree,Student,I have never written code,,,,,,,,,,,,,,
279,35-39,Woman,India,Master’s degree,Currently not employed,1-2 years,Python,,,C,,,,,,,,,,Python
617,30-34,Man,India,Master’s degree,Other,< 1 years,Python,,,,,,,,,,,,,Python
61,25-29,Woman,Other,Doctoral degree,,,,,,,,,,,,,,,,
118,18-21,Woman,Nigeria,Master’s degree,Student,I have never written code,,,,,,,,,,,,,,
485,22-24,Man,Viet Nam,Master’s degree,Machine Learning Engineer,3-5 years,Python,,,,,,,,,,,,,Python
7486,22-24,Woman,Poland,Master’s degree,Machine Learning Engineer,3-5 years,Python,,,,,,,,,,,,,Python
165,18-21,Woman,Thailand,Bachelor’s degree,Student,I have never written code,,,,,,,,,,,,,,
1683,50-54,Man,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Data Analyst,10-20 years,Python,,,,,,,,,,,,Other,R
491,22-24,Man,Other,Bachelor’s degree,Software Engineer,5-10 years,Python,,,,,,,,Swift,,,,,Python
2741,25-29,Man,Egypt,Bachelor’s degree,Machine Learning Engineer,1-2 years,Python,,,,C++,,,,,,,,,Python
649,18-21,Woman,India,Bachelor’s degree,Student,1-2 years,Python,,SQL,C,C++,Java,Javascript,,,,,,Other,Python
1522,30-34,Man,United States of America,Bachelor’s degree,Other,1-2 years,Python,R,SQL,,,,,Julia,,,,,,Python
113,40-44,Woman,France,No formal education past high school,Currently not employed,3-5 years,Python,,,,,,,Julia,,Bash,,,,Other
747,18-21,Man,India,Bachelor’s degree,Machine Learning Engineer,1-2 years,Python,,,C,C++,Java,,,,,,,,Python
1001,22-24,Man,Brazil,Professional degree,Business Analyst,< 1 years,Python,,,,,,,,,,,,,Python
215,50-54,Man,Argentina,Doctoral degree,,,,,,,,,,,,,,,,
160,18-21,Man,Colombia,Some college/university study without earning a bachelor’s degree,Student,< 1 years,Python,,,,,,,,,,,,,Python
336,18-21,Man,Mexico,Some college/university study without earning a bachelor’s degree,Data Analyst,< 1 years,Python,R,,,,,,,,,,,,Python
4436,25-29,Woman,Egypt,Master’s degree,Data Scientist,5-10 years,Python,R,SQL,,,,,,,,,,,Python
214,30-34,Man,United States of America,Doctoral degree,Student,1-2 years,,R,,,,,,,,,,,,MATLAB
400,18-21,Man,Viet Nam,Bachelor’s degree,Student,3-5 years,,,,C,,Java,,,,,,,,C
399,22-24,Man,India,Professional degree,Currently not employed,< 1 years,Python,,,C,,Java,,,,,,,,Python
758,35-39,Woman,Other,Master’s degree,Data Analyst,< 1 years,Python,,,,,,,,,,MATLAB,,,Python
450,35-39,Man,United States of America,Master’s degree,Data Scientist,5-10 years,Python,R,SQL,,,,,,,,,,,SQL
546,18-21,Woman,Ghana,I prefer not to answer,Student,1-2 years,Python,,,,,Java,Javascript,,,,,,,Python
844,35-39,Man,Russia,Doctoral degree,Research Scientist,10-20 years,Python,,,,,,Javascript,,,,,,,Python
70,50-54,Man,Japan,Master’s degree,,,,,,,,,,,,,,,,
778,45-49,Woman,United States of America,Doctoral degree,Data Scientist,10-20 years,Python,,SQL,,,,,,,,,,,Python
670,55-59,Man,India,Bachelor’s degree,Machine Learning Engineer,< 1 years,Python,,,C,C++,,,,Swift,,,,Other,Python
1880,25-29,Man,Poland,Master’s degree,Software Engineer,3-5 years,Python,,,,,,,,,,,,,Python
518,25-29,Man,Ghana,Master’s degree,Student,< 1 years,Python,,,,,,,,,,,,,Python
1020,22-24,Man,India,Some college/university study without earning a bachelor’s degree,Student,< 1 years,Python,,SQL,,,,,,,,,,,SQL
97987,18-21,Man,Nigeria,Bachelor’s degree,Student,3-5 years,Python,,,,,,,,,,,,,Python
206,18-21,Man,Ireland,No formal education past high school,Student,5-10 years,Python,,,,,,Javascript,,,,,,,Python
400,40-44,Man,United States of America,Master’s degree,Machine Learning Engineer,5-10 years,Python,,,,,,,,,,,,,Python
54,35-39,Woman,India,,,,,,,,,,,,,,,,,
372,35-39,Man,Other,Doctoral degree,Research Scientist,10-20 years,Python,R,SQL,,,Java,,,,,,,,Python
326,25-29,Man,Ghana,Bachelor’s degree,Student,5-10 years,Python,,,,,,Javascript,,,,,,,R
542,25-29,Man,Netherlands,Master’s degree,Machine Learning Engineer,3-5 years,Python,,,,C++,,,,,,MATLAB,,,Python
528,22-24,Man,India,Master’s degree,Student,< 1 years,Python,,,,,,,,,,,,,Python
660,35-39,Man,Canada,Master’s degree,Data Scientist,5-10 years,Python,,SQL,,,,,,,,,,Other,Other
127893,35-39,Man,Nigeria,Bachelor’s degree,Software Engineer,10-20 years,Python,,SQL,,,Java,Javascript,Julia,,,,,,Python
638,25-29,Woman,India,Bachelor’s degree,Data Analyst,1-2 years,Python,R,,,,,,,,,,,,Python
584,35-39,Woman,Other,Master’s degree,Product/Project Manager,< 1 years,Python,,,,,,,,,,MATLAB,,,Python
75,25-29,Woman,Philippines,Bachelor’s degree,Data Analyst,< 1 years,,,SQL,,,,,,,,,,,SQL
982,25-29,Man,United States of America,Master’s degree,Software Engineer,10-20 years,Python,,SQL,,,Java,Javascript,,,Bash,,,,Python
768,18-21,Man,Nigeria,I prefer not to answer,Data Scientist,< 1 years,Python,,,,,,,,,,,,,Python
1234,55-59,Man,France,I prefer not to answer,Currently not employed,20+ years,Python,,SQL,C,C++,Java,Javascript,,,Bash,,,Other,Python
7349,22-24,Man,France,Master’s degree,Research Scientist,3-5 years,Python,R,,,,,,,,,,,,Python
2615,30-34,Man,China,Bachelor’s degree,Business Analyst,,,,,,,,,,,,,,,
874,30-34,Man,Netherlands,Master’s degree,Data Analyst,3-5 years,Python,,SQL,,C++,,,,Swift,Bash,,,,Python
426,40-44,Man,Germany,Doctoral degree,Software Engineer,20+ years,,,SQL,,C++,,,,,,,,,Python
444,25-29,Man,Morocco,Master’s degree,Data Scientist,3-5 years,Python,,,,,,,,,,,,,Python
518,45-49,Man,Spain,Doctoral degree,Currently not employed,5-10 years,Python,R,,,,Java,,,,,,,,Python
13941,45-49,Man,India,Master’s degree,,,,,,,,,,,,,,,,
1040,18-21,Woman,India,Master’s degree,Student,3-5 years,Python,,SQL,C,C++,Java,Javascript,,,,,,,Python
143,18-21,Man,Turkey,Some college/university study without earning a bachelor’s degree,Student,I have never written code,,,,,,,,,,,,,,
507,30-34,Man,Belgium,Doctoral degree,Research Scientist,3-5 years,Python,,,,,,,,,Bash,,,Other,Python
752,35-39,Man,Other,Master’s degree,Business Analyst,3-5 years,,R,,,,,,,,,,,,R
650,25-29,Woman,Germany,Master’s degree,Data Scientist,3-5 years,Python,,SQL,,,,,,,,,,,Python
151,25-29,Woman,Egypt,I prefer not to answer,Machine Learning Engineer,,,,,,,,,,,,,,,
918,25-29,Woman,Saudi Arabia,Master’s degree,Data Analyst,5-10 years,Python,,SQL,,,,,,,,,,,Python
623,22-24,Man,Russia,Doctoral degree,Research Scientist,3-5 years,Python,,SQL,,,,,,,,MATLAB,,,R
821,40-44,Woman,India,Bachelor’s degree,Currently not employed,3-5 years,Python,,SQL,,,,,,,,,,,Python
2224,25-29,Man,Other,Master’s degree,Software Engineer,5-10 years,Python,R,SQL,,C++,Java,Javascript,,,,MATLAB,,Other,Python
67,25-29,Man,India,Bachelor’s degree,,,,,,,,,,,,,,,,
725753,18-21,Man,Turkey,Bachelor’s degree,Data Scientist,1-2 years,Python,,SQL,,,,,,,,,,,Python
453,30-34,Man,Russia,Master’s degree,Software Engineer,5-10 years,Python,,SQL,,,,,,,Bash,,,Other,Python
13747,30-34,Man,Italy,Professional degree,Research Scientist,< 1 years,Python,,,,,,,,,,,,,Python
187,18-21,Man,United States of America,Some college/university study without earning a bachelor’s degree,Student,5-10 years,Python,,SQL,C,C++,Java,,,,,,,,Python
164,22-24,Man,United States of America,Bachelor’s degree,Data Analyst,3-5 years,Python,R,SQL,,,,,,,,,,,Python
1167,40-44,Man,Spain,Some college/university study without earning a bachelor’s degree,Data Scientist,20+ years,Python,R,SQL,,,,,,,,,,,SQL
310,22-24,Woman,Spain,Doctoral degree,Data Scientist,1-2 years,Python,R,,,,,,,,,,,,R
1524,55-59,Man,India,No formal education past high school,Currently not employed,20+ years,Python,,,,,,,,,,,,,Python
442,25-29,Man,India,Doctoral degree,Student,1-2 years,Python,,,,,,,,,,,,,Python
186,22-24,Woman,India,Bachelor’s degree,Software Engineer,I have never written code,,,,,,,,,,,,,,
1317,25-29,Man,"Iran, Islamic Republic of...",Master’s degree,Data Scientist,3-5 years,Python,R,SQL,C,C++,Java,Javascript,,,,MATLAB,,,Python
862,50-54,Man,Spain,Doctoral degree,Research Scientist,20+ years,Python,,SQL,C,C++,Java,,,,Bash,,,Other,Python
312,30-34,Man,United States of America,Master’s degree,Data Analyst,3-5 years,,R,SQL,,,,,,,,,,,Python
947,30-34,Man,India,Bachelor’s degree,Other,< 1 years,Python,,,,,,,,,,,,,Python
518,50-54,Man,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Other,10-20 years,Python,,,C,C++,,,,,,MATLAB,,,Python
3215,45-49,Man,United States of America,Master’s degree,Software Engineer,3-5 years,Python,R,SQL,,C++,,Javascript,,,Bash,,,,Python
388,18-21,Man,India,Bachelor’s degree,Student,1-2 years,Python,,,C,C++,Java,Javascript,,,,,,,Python
400,30-34,Woman,India,Bachelor’s degree,Data Scientist,3-5 years,Python,,,,,,,,,,,,,Python
559,30-34,Woman,Italy,Bachelor’s degree,Student,3-5 years,,,,,C++,,,,,,MATLAB,,,Python
364,18-21,Man,India,Bachelor’s degree,Student,1-2 years,Python,,,C,,,,,,,,,,Python
3139,35-39,Man,United States of America,Master’s degree,Machine Learning Engineer,20+ years,Python,,SQL,,,Java,,,,,,,,Python
742,30-34,Woman,Spain,Master’s degree,Data Scientist,1-2 years,Python,R,,C,,,,,,,,,,Python
498,30-34,Man,Germany,Bachelor’s degree,Student,10-20 years,Python,,,,C++,,,,,,,,,Python
515,18-21,Man,India,Some college/university study without earning a bachelor’s degree,Student,5-10 years,Python,,,C,C++,,,,,,,,,Python
771,18-21,Man,India,Bachelor’s degree,Student,3-5 years,Python,,,,C++,,Javascript,,Swift,,,,,Python
356,40-44,Woman,United States of America,Bachelor’s degree,Data Analyst,< 1 years,Python,,SQL,,,,,,,,,,,SQL
465,18-21,Man,India,No formal education past high school,Student,3-5 years,Python,,,,,,Javascript,,,,,,,Python
2101,18-21,Man,India,Bachelor’s degree,Student,1-2 years,Python,,SQL,C,C++,Java,,,,,MATLAB,,,Python
512,18-21,Man,India,Some college/university study without earning a bachelor’s degree,Machine Learning Engineer,5-10 years,Python,,,,,,Javascript,,,,MATLAB,,,Python
1553,22-24,Woman,Japan,Some college/university study without earning a bachelor’s degree,Software Engineer,5-10 years,Python,R,SQL,,C++,Java,Javascript,,Swift,,,,,Python
1268,18-21,Man,Peru,Some college/university study without earning a bachelor’s degree,Student,< 1 years,Python,,SQL,,,Java,Javascript,Julia,,,,,,Python
1220,40-44,Man,Other,Doctoral degree,Data Scientist,20+ years,Python,,SQL,,,Java,,,,Bash,MATLAB,,,Python
524,22-24,Man,United States of America,Master’s degree,Data Analyst,3-5 years,Python,,SQL,,,,Javascript,,,,,,,Javascript
702,30-34,Man,Egypt,Bachelor’s degree,Other,10-20 years,Python,,SQL,,,,,,,,,,,SQL
1218,30-34,Woman,Germany,Doctoral degree,Data Scientist,5-10 years,Python,R,SQL,,,,,,,,,,,R
278,30-34,Man,Other,Doctoral degree,Currently not employed,3-5 years,Python,,,,,,,,,,,,,Python
979,25-29,Woman,Tunisia,Professional degree,Research Scientist,1-2 years,Python,,,,,,,,,,,,,Python
3949,22-24,Woman,Romania,Master’s degree,Data Scientist,1-2 years,Python,R,,,,,,,,,,,,Python
146,30-34,Woman,India,Master’s degree,Data Scientist,,,,,,,,,,,,,,,
81702,18-21,Woman,India,Master’s degree,Student,1-2 years,Python,R,,C,C++,,,,,,,,,Python
435,18-21,Man,India,Bachelor’s degree,Student,1-2 years,Python,,,C,,Java,,,,,,,,Python
796,30-34,Man,Russia,Bachelor’s degree,Data Scientist,1-2 years,Python,,,,,,,,,,,,,Python
286,18-21,Man,United States of America,Master’s degree,Student,1-2 years,Python,R,,,,,,,,,,,Other,R
505,25-29,Man,India,Master’s degree,Other,1-2 years,Python,R,,,,,,,,,,,,Python
271,18-21,Man,India,Bachelor’s degree,Statistician,1-2 years,Python,,,,C++,,,,,,,,,Python
273,25-29,Man,India,Bachelor’s degree,Currently not employed,I have never written code,,,,,,,,,,,,,,
767,40-44,Man,India,Master’s degree,Data Scientist,3-5 years,Python,,SQL,,,,,,,,,,,Python
591,35-39,Man,India,Master’s degree,Data Scientist,5-10 years,Python,R,SQL,,,,,,,,,,,Python
7688,18-21,Man,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Student,3-5 years,Python,R,,,,,,,,,,,,Python
1238,35-39,Man,United States of America,Bachelor’s degree,Currently not employed,< 1 years,Python,,,,,,,,,,,,,Python
257,50-54,Man,United States of America,Doctoral degree,Data Scientist,20+ years,Python,R,SQL,,,,,,,Bash,,,,Python
219,30-34,Woman,India,Bachelor’s degree,Data Scientist,1-2 years,Python,,,,,,,,,,,,,Python
2198,40-44,Man,United States of America,Doctoral degree,Other,20+ years,Python,,,,,,,,,,,,,Python
452,18-21,Man,India,Master’s degree,Student,< 1 years,Python,,,,,,,,,,,,,Python
1490,40-44,Woman,India,Bachelor’s degree,Product/Project Manager,10-20 years,Python,,SQL,,,Java,Javascript,,,,,,,Python
193,18-21,Man,India,Bachelor’s degree,Student,3-5 years,Python,,,,C++,,Javascript,,,,MATLAB,,,Python
1107,22-24,Man,Nigeria,Some college/university study without earning a bachelor’s degree,Data Scientist,3-5 years,Python,,,,,,,,,,,,,Python
318,22-24,Woman,Indonesia,Bachelor’s degree,Data Scientist,3-5 years,Python,,,,,Java,,,,,MATLAB,,,Python
494,25-29,Woman,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Scientist,1-2 years,Python,,SQL,,,Java,,,,,,,,Python
693,22-24,Woman,India,Master’s degree,Data Scientist,< 1 years,Python,R,SQL,,,,,,,,,,,Python
1620,35-39,Man,Germany,Bachelor’s degree,Student,10-20 years,Python,,,,C++,,,,,,,,Other,Python
78094,18-21,Woman,Taiwan,Some college/university study without earning a bachelor’s degree,Student,1-2 years,Python,,,,C++,,,,,,,,,Python
476,25-29,Man,Colombia,Professional degree,Data Analyst,5-10 years,Python,,SQL,,,,,,,,,,,Python
1052,18-21,Man,India,Bachelor’s degree,Student,< 1 years,Python,,SQL,,,,,,,,MATLAB,,,Python
167,22-24,Woman,Nepal,Master’s degree,Currently not employed,1-2 years,Python,,SQL,C,,Java,Javascript,,,,,,,Python
721,50-54,Man,Italy,No formal education past high school,Currently not employed,10-20 years,,R,,,,,,,,,,,,R
1187,22-24,Man,Other,Bachelor’s degree,Student,5-10 years,Python,,,,C++,Java,,,,,MATLAB,,,Python
592,18-21,Man,United States of America,Master’s degree,Software Engineer,3-5 years,Python,,SQL,,C++,Java,,,,,,,,Python
463,25-29,Man,India,Master’s degree,Student,< 1 years,Python,,,,,,,,,,,,,Python
537,60-69,Man,Japan,Master’s degree,Product/Project Manager,< 1 years,Python,,,,,,,,,,,,,Python
259,25-29,Woman,United States of America,Master’s degree,Student,< 1 years,Python,,SQL,,,,,,,,,,,SQL
1439,35-39,Man,Republic of Korea,Professional degree,Data Analyst,5-10 years,Python,R,SQL,,,,,,,,,,,SQL
584,18-21,Man,Russia,Bachelor’s degree,Student,3-5 years,Python,,,,C++,,Javascript,,,,,,,Python
2060,25-29,Man,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Student,,,,,,,,,,,,,,,
15675,22-24,Man,India,Bachelor’s degree,Data Engineer,10-20 years,,,SQL,,C++,,,,,,,,,C++
252,25-29,Man,Australia,Master’s degree,Student,1-2 years,Python,,SQL,,,,,,,,MATLAB,,,Python
296,30-34,Man,United States of America,Doctoral degree,Other,3-5 years,Python,,,,,,,,,,,,,Python
828,30-34,Man,Chile,Master’s degree,Software Engineer,3-5 years,Python,,SQL,,,,Javascript,,,,,,Other,Python
979,50-54,Man,Japan,Bachelor’s degree,,,,,,,,,,,,,,,,
411,25-29,Woman,Saudi Arabia,Professional degree,Data Scientist,1-2 years,Python,R,SQL,,C++,Java,Javascript,,,,,,,Python
479,18-21,Man,India,Bachelor’s degree,Machine Learning Engineer,3-5 years,Python,,,,,,,,,,,,,Python
603,40-44,Woman,United States of America,Master’s degree,Statistician,1-2 years,Python,R,,,,,,,,,,,,R
532,25-29,Man,India,Bachelor’s degree,Software Engineer,3-5 years,Python,,SQL,,,,Javascript,,,Bash,,,Other,Python
346,30-34,Man,United States of America,Master’s degree,Data Scientist,5-10 years,Python,,SQL,,,,,,,,,,,SQL
